Sra. Agatha Caldeira	627.089.531-68	pedro-miguel50@bol.com.br	
Valentina Sales	567.239.084-65	lfogaca@jesus.br	
André Ribeiro	012.536.987-59	vdas-neves@castro.br	
Srta. Manuela Nascimento	198.235.704-50	aragaocecilia@yahoo.com.br	
Caroline Freitas	765.821.309-86	smoraes@hotmail.com	
João Guilherme Mendes	236.471.895-37	thalesda-cruz@hotmail.com	
Vitor Hugo Cardoso	408.215.973-88	bernardonogueira@ribeiro.net	
Luiz Henrique Porto	391.502.786-30	ana-beatrizsilveira@yahoo.com.br	
Ana Júlia da Luz	032.179.658-68	isaacpires@monteiro.br	
Sr. Daniel Moura	748.209.315-04	beniciobarbosa@gmail.com	
Esther Almeida	926.158.730-59	luizada-costa@uol.com.br	
Vitória Aragão	703.419.856-00	almeidayasmin@silva.net	
Srta. Isabel Fogaça	758.912.406-02	heitor38@hotmail.com	
Dr. Luiz Fernando Carvalho	572.314.098-14	tmartins@ig.com.br	
Augusto Gonçalves	560.482.937-47	cardosopedro@hotmail.com	
Calebe Caldeira	185.069.743-48	jsouza@gmail.com	
Vitor Lopes	036.751.428-17	anunes@uol.com.br	
Dr. Vitor Gabriel Lima	169.378.205-77	theopires@sales.br	
Stephany Castro	824.706.539-83	caldeiraluiz-fernando@ig.com.br	
Enrico da Cunha	405.817.326-26	maria-juliaazevedo@cunha.com	
Luiza Jesus	539.142.807-60	marina89@bol.com.br	
Murilo Jesus	710.894.236-40	azevedoheitor@vieira.br	
Joaquim Costela	925.764.810-94	fernandessarah@hotmail.com	
Dr. Enzo Gabriel Barros	369.741.085-75	vduarte@ig.com.br	
Dra. Heloísa Correia	201.496.837-31	valentina38@uol.com.br	
Matheus Farias	051.867.493-20	joao59@ig.com.br	
João Guilherme Farias	170.498.356-84	joao-pedro48@gmail.com	
André Nascimento	425.916.087-76	fogacaraquel@da.net	
Dra. Larissa Lopes	671.983.240-96	ramosmaria-julia@ig.com.br	
