Luiz Otávio Novaes	401.697.583-20	livia73@bol.com.br	
Pietra Cardoso	051.293.476-25	davi36@ig.com.br	
Lara Mendes	352.876.041-90	stellada-paz@araujo.org	
Sabrina Novaes	148.520.679-02	santosthiago@hotmail.com	
Srta. Letícia Moura	764.931.508-84	da-costaclara@cavalcanti.org	
Enzo Viana	178.526.904-67	ycastro@hotmail.com	
Davi Luiz Nogueira	437.652.108-62	ubarros@yahoo.com.br	
Júlia da Mata	082.954.713-41	alice19@ferreira.net	
Sr. Matheus Carvalho	234.057.869-83	fernandesluiz-henrique@yahoo.com.br	
Dra. Sabrina Cunha	701.635.489-00	mariane67@hotmail.com	
Srta. Lorena Silveira	836.059.247-00	pietro47@freitas.org	
Larissa Silveira	854.623.107-90	ana-julia46@hotmail.com	
Luiza Almeida	154.693.702-16	mcosta@yahoo.com.br	
Noah Nascimento	647.859.032-10	npinto@costa.com	
Elisa Costela	873.541.602-53	da-rochaantonio@ig.com.br	
Mariana Jesus	790.684.531-57	danielcunha@aragao.br	
Igor Monteiro	502.367.419-34	rafaela59@bol.com.br	
Yago Ribeiro	620.189.547-76	moreiraalice@yahoo.com.br	
Maria Cecília Cavalcanti	719.423.068-22	pporto@teixeira.br	
Dra. Stephany Viana	913.674.502-25	emanuel88@sales.com	
Luana Souza	273.458.609-65	crocha@uol.com.br	
Mirella Souza	956.710.283-02	da-conceicaoryan@ig.com.br	
Calebe Jesus	021.365.897-68	wmoraes@mendes.br	
Joana Gomes	356.749.821-55	dalves@ig.com.br	
Sr. Davi Lucas Araújo	263.571.409-61	amonteiro@hotmail.com	
Breno Caldeira	982.475.031-23	portorebeca@uol.com.br	
Daniel Azevedo	714.562.908-94	gabriellycavalcanti@campos.net	
Bryan Rocha	817.563.902-40	pietroda-mata@hotmail.com	
Luiz Felipe Nascimento	631.598.270-03	costabarbara@gmail.com	
Ana Clara da Rocha	219.476.835-19	pereiracaue@costela.br	
Mariana Pereira	143.865.902-42	joao-miguel28@lima.br	
Thiago Vieira	407.356.812-44	leticia33@barros.com	
Paulo Lima	932.648.017-87	lara06@santos.net	
