Sra. Gabriela Novaes	931.870.625-12	lorenzopires@ig.com.br	
Rebeca da Paz	830.419.276-40	nascimentoguilherme@cunha.br	
Isabella Lima	695.723.810-59	ana-julia08@uol.com.br	
Helena Carvalho	473.658.901-93	nathanferreira@ig.com.br	
Dr. João Vitor Rocha	587.039.416-39	gomesjoao-pedro@da.com	
Lucas da Paz	813.204.695-15	luanasales@da.br	
Davi Lucca Sales	528.903.761-68	ppeixoto@gmail.com	
Maria Rodrigues	308.594.127-41	eda-cunha@hotmail.com	
Dra. Esther Freitas	429.318.760-03	carolinenogueira@hotmail.com	
João Miguel Teixeira	418.269.053-24	maria-luizamelo@da.com	
Luiz Felipe Ribeiro	308.642.951-89	pietrobarbosa@cardoso.br	
Emilly Araújo	203.516.489-33	olivia58@bol.com.br	
Sr. Luiz Felipe Moura	865.372.904-65	diogo84@ig.com.br	
Helena Aragão	917.386.025-59	isabellacorreia@ig.com.br	
Srta. Natália Pires	507.943.862-29	zfreitas@martins.net	
Marina Pinto	631.857.920-68	stephanygomes@melo.com	
Maria Luiza da Rosa	167.034.829-69	da-matamaria@gmail.com	
Yasmin Novaes	251.630.489-70	sdias@yahoo.com.br	
Luiza das Neves	789.432.160-50	luiz-henriquealmeida@goncalves.br	
Carolina da Paz	709.386.512-77	catarinafernandes@hotmail.com	
Dr. Luiz Felipe da Rocha	640.217.958-20	rebeca76@uol.com.br	
Luiz Fernando Fogaça	570.139.642-80	maria-cecilia23@bol.com.br	
Eduarda Silva	561.309.287-77	yago12@ig.com.br	
Henrique Ribeiro	038.947.125-97	yago71@nunes.com	
Dr. Luiz Otávio Pereira	603.718.495-00	da-motaleticia@yahoo.com.br	
Luiz Fernando Mendes	176.985.230-12	ccaldeira@ig.com.br	
Marcelo da Rosa	185.237.409-88	gsilva@gmail.com	
Gabriela Teixeira	621.048.795-58	mmoreira@gmail.com	
Thiago Aragão	509.417.862-85	eduardamoura@yahoo.com.br	
Sr. Cauã Moreira	938.102.475-88	kmartins@uol.com.br	
Gabriela Santos	721.368.405-17	nunesdavi-lucca@da.net	
Joaquim Vieira	362.458.907-56	xdias@da.br	
Gabriela Pires	981.304.275-32	tda-conceicao@rocha.net	
Ana Julia Costela	760.832.591-77	aragaohelena@da.br	
Ana Julia da Conceição	914.582.076-76	da-cunhaelisa@das.br	
Pietra da Rocha	734.206.519-61	camila22@ig.com.br	
Valentina Sales	924.801.537-97	isabel05@da.br	
Esther Azevedo	370.296.458-47	anovaes@rocha.com	
Lívia Dias	843.509.617-39	almeidaanthony@das.br	
Manuela Alves	083.956.714-66	npereira@uol.com.br	
Sr. Emanuel Correia	943.126.057-34	ana-julia36@barros.com	
João Santos	130.258.496-06	da-cunhadavi@da.br	
Rafael Moura	367.285.401-80	isabellyfreitas@aragao.br	
Ana Vitória da Conceição	512.738.940-14	nda-rocha@ig.com.br	
Ian Barbosa	713.082.945-14	joao-vitor91@porto.com	
Dra. Isadora Cavalcanti	179.625.843-19	ryanporto@bol.com.br	
Thiago Fernandes	859.642.370-29	ajesus@yahoo.com.br	
Cauê Cardoso	825.746.193-82	lorena28@cavalcanti.org	
Kaique Nascimento	158.324.096-98	ncampos@ig.com.br	
Thiago Lima	503.748.296-83	da-luznatalia@uol.com.br	
Catarina da Rocha	175.430.862-71	thalesoliveira@pires.br	
Caio Costela	406.897.521-30	zvieira@moraes.br	
